Date,Open,High,Low,Close,Adj Close,Volume
2010-07-16,118800.000000,119100.000000,115494.000000,115815.000000,115815.000000,62300
2010-07-19,115815.000000,116585.000000,114660.000000,116141.000000,116141.000000,48000
2010-07-20,114700.000000,117665.000000,114451.000000,117350.000000,117350.000000,48200
2010-07-21,117680.000000,117825.000000,114448.000000,114875.000000,114875.000000,51700
2010-07-22,116500.000000,117641.000000,115965.000000,117600.000000,117600.000000,92400
2010-07-23,117400.000000,118336.000000,116705.000000,118014.000000,118014.000000,99800
2010-07-26,118500.000000,119110.000000,117410.000000,118000.000000,118000.000000,147200
2010-07-27,118345.000000,118345.000000,117500.000000,117700.000000,117700.000000,83800
2010-07-28,117945.000000,118019.000000,116400.000000,116615.000000,116615.000000,32800
2010-07-29,117500.000000,118200.000000,115867.000000,116866.000000,116866.000000,86700
2010-07-30,116050.000000,117625.000000,116050.000000,117000.000000,117000.000000,94600
2010-08-02,118400.000000,119900.000000,117898.000000,119900.000000,119900.000000,136700
2010-08-03,119600.000000,120100.000000,119341.000000,119704.000000,119704.000000,92400
2010-08-04,119810.000000,121227.000000,119734.000000,121200.000000,121200.000000,69300
2010-08-05,120000.000000,121385.000000,119810.000000,121385.000000,121385.000000,90600
2010-08-06,120000.000000,121100.000000,118272.000000,120600.000000,120600.000000,50800
2010-08-09,121273.000000,121273.000000,119800.000000,121039.000000,121039.000000,57100
2010-08-10,120186.000000,120488.000000,118697.000000,119740.000000,119740.000000,38300
2010-08-11,118400.000000,118400.000000,116200.000000,116480.000000,116480.000000,51700
2010-08-12,115700.000000,116200.000000,115000.000000,115531.000000,115531.000000,44700
2010-08-13,115383.000000,116295.000000,115167.000000,115180.000000,115180.000000,28300
2010-08-16,114727.000000,115868.000000,114235.000000,115260.000000,115260.000000,23400
2010-08-17,115800.000000,117295.000000,115627.000000,116390.000000,116390.000000,30500
2010-08-18,116100.000000,119235.000000,116100.000000,118455.000000,118455.000000,66200
2010-08-19,117900.000000,117940.000000,116099.000000,116305.000000,116305.000000,47500
2010-08-20,115800.000000,117199.000000,115400.000000,116700.000000,116700.000000,44900
2010-08-23,116600.000000,117000.000000,115882.000000,115890.000000,115890.000000,18300
2010-08-24,114462.000000,116171.000000,113968.000000,114995.000000,114995.000000,61200
2010-08-25,114656.000000,115506.000000,113622.000000,115106.000000,115106.000000,72400
2010-08-26,115200.000000,115689.000000,114000.000000,114433.000000,114433.000000,43400
2010-08-27,115600.000000,118100.000000,115058.000000,118100.000000,118100.000000,97500
2010-08-30,117550.000000,118462.000000,116785.000000,116858.000000,116858.000000,31200
2010-08-31,116800.000000,118675.000000,116276.000000,118675.000000,118675.000000,54100
2010-09-01,118900.000000,121480.000000,118446.000000,121300.000000,121300.000000,205700
2010-09-02,120936.000000,122002.000000,120434.000000,121000.000000,121000.000000,63400
2010-09-03,121940.000000,122465.000000,120740.000000,122300.000000,122300.000000,99400
2010-09-07,121600.000000,122263.000000,121150.000000,121150.000000,121150.000000,39300
2010-09-08,121560.000000,122561.000000,121560.000000,122411.000000,122411.000000,73400
2010-09-09,122859.000000,123655.000000,122547.000000,123500.000000,123500.000000,95000
2010-09-10,123500.000000,124025.000000,123136.000000,123977.000000,123977.000000,71000
2010-09-13,124000.000000,125025.000000,124000.000000,125000.000000,125000.000000,148100
2010-09-14,124895.000000,125319.000000,124402.000000,124510.000000,124510.000000,107800
2010-09-15,124407.000000,125300.000000,123764.000000,125300.000000,125300.000000,50300
2010-09-16,125030.000000,125210.000000,124397.000000,125210.000000,125210.000000,32100
2010-09-17,125500.000000,126199.000000,124415.000000,125000.000000,125000.000000,114400
2010-09-20,124300.000000,125493.000000,124300.000000,125160.000000,125160.000000,74000
2010-09-21,125247.000000,125667.000000,124375.000000,124865.000000,124865.000000,74600
2010-09-22,124798.000000,125200.000000,123510.000000,123820.000000,123820.000000,30900
2010-09-23,122844.000000,124084.000000,121561.000000,121785.000000,121785.000000,35100
2010-09-24,123240.000000,128730.000000,122994.000000,124850.000000,124850.000000,164800
2010-09-27,125274.000000,125758.000000,124177.000000,124220.000000,124220.000000,50000
2010-09-28,124500.000000,125001.000000,123365.000000,124495.000000,124495.000000,35600
2010-09-29,123800.000000,124950.000000,123340.000000,123617.000000,123617.000000,29200
2010-09-30,124034.000000,125528.000000,123906.000000,124500.000000,124500.000000,45100
2010-10-01,124850.000000,125150.000000,123545.000000,123914.000000,123914.000000,48200
2010-10-04,123645.000000,124240.000000,122360.000000,123200.000000,123200.000000,37500
2010-10-05,123905.000000,125560.000000,122815.000000,125035.000000,125035.000000,73500
2010-10-06,125200.000000,125255.000000,124201.000000,125136.000000,125136.000000,45400
2010-10-07,125706.000000,125706.000000,123965.000000,124650.000000,124650.000000,50900
2010-10-08,124630.000000,125010.000000,124000.000000,124625.000000,124625.000000,66600
2010-10-11,124699.000000,124868.000000,123912.000000,124320.000000,124320.000000,15600
2010-10-12,123800.000000,125020.000000,123500.000000,124967.000000,124967.000000,37400
2010-10-13,125122.000000,125770.000000,124925.000000,125410.000000,125410.000000,82200
2010-10-14,125585.000000,126568.000000,124887.000000,125612.000000,125612.000000,65700
2010-10-15,126500.000000,126500.000000,124503.000000,124800.000000,124800.000000,74900
2010-10-18,124800.000000,125344.000000,124090.000000,125150.000000,125150.000000,67800
2010-10-19,124495.000000,125080.000000,123101.000000,123500.000000,123500.000000,52700
2010-10-20,123805.000000,124741.000000,123453.000000,124235.000000,124235.000000,74300
2010-10-21,124690.000000,125200.000000,123731.000000,124461.000000,124461.000000,75400
